순위,선수명,팀명,AVG타석,G타석,PA타석,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,최형우,삼성,0.376,138,618,519,99,195,46,2,31,338,144,0,7,0.376,79,108,140,0.77,9,1,3.94,0.276,136.4,0.372
2,김태균,한화,0.365,144,652,529,94,193,39,0,23,301,136,0,6,0.365,62,113,132,0.86,11,1.11,4.25,0.204,132.9,0.356
3,이용규,한화,0.352,113,530,452,98,159,20,4,3,196,41,7,1,0.352,27,139,126,1.1,1,2.17,4.13,0.082,84.3,0.306
4,김주찬,KIA,0.346,130,555,511,97,177,37,3,23,289,101,1,6,0.346,63,137,135,1.01,12,0.44,3.56,0.219,98.6,0.315
5,박용택,LG,0.346,138,578,509,84,176,24,0,11,233,90,0,7,0.346,35,145,124,1.17,10,0.82,3.89,0.112,90.7,0.3
6,구자욱,삼성,0.343,108,495,428,105,147,19,13,14,234,77,2,5,0.343,46,111,107,1.04,6,0.81,3.9,0.203,93,0.326
7,박민우,NC,0.343,121,515,435,84,149,16,6,3,186,55,10,7,0.343,25,136,87,1.56,2,0.79,4.06,0.085,80.5,0.296
8,유한준,kt,0.336,110,460,408,70,137,22,0,14,201,64,0,3,0.336,36,120,114,1.05,4,1.18,3.92,0.157,76.2,0.305
9,황재균,롯데,0.335,127,559,498,97,167,26,5,27,284,113,0,8,0.335,58,104,169,0.62,17,0.74,3.79,0.235,105.1,0.32
10,박건우,두산,0.335,132,540,484,95,162,36,4,20,266,83,4,5,0.335,60,116,125,0.93,4,0.44,3.87,0.215,96,0.313
11,고종욱,넥센,0.334,133,566,527,92,176,22,9,8,240,72,1,5,0.334,39,142,111,1.28,9,0.27,3.72,0.121,82.7,0.28
12,김재환,두산,0.325,134,568,492,107,160,32,3,37,309,124,0,5,0.325,72,101,129,0.78,13,0.66,3.95,0.303,115.9,0.34
13,송광민,한화,0.325,116,494,449,80,146,27,2,17,228,83,7,6,0.325,46,115,108,1.06,10,0.33,3.51,0.183,76,0.292
14,김문호,롯데,0.325,140,599,526,77,171,28,3,7,226,70,3,2,0.325,38,160,127,1.26,4,0.89,4.02,0.105,83.1,0.288
15,서건창,넥센,0.325,140,646,560,111,182,30,7,7,247,63,3,4,0.325,44,187,137,1.36,9,1.19,3.61,0.116,100.1,0.293
16,민병헌,두산,0.325,134,579,511,98,166,31,4,16,253,87,1,4,0.325,51,101,157,0.64,8,0.53,3.69,0.17,92.4,0.302
17,손아섭,롯데,0.323,144,672,575,118,186,33,1,16,269,81,0,2,0.323,50,206,81,2.54,5,0.88,4.16,0.144,117.7,0.305
18,강민호,롯데,0.323,116,460,381,65,123,26,0,20,209,72,0,3,0.323,46,90,80,1.13,6,0.73,4.06,0.226,86.4,0.332
19,로사리오,한화,0.321,127,532,492,78,158,31,2,33,292,120,1,2,0.321,66,120,126,0.95,12,0.37,3.61,0.272,93.5,0.313
20,테임즈,NC,0.321,123,529,436,118,140,30,3,40,296,121,0,7,0.321,73,74,126,0.59,12,0.72,4.04,0.358,120,0.362
21,이대형,kt,0.32,143,654,600,89,192,14,3,1,215,42,7,1,0.32,18,262,57,4.6,3,0.49,3.69,0.038,78.5,0.255
22,김성현,SK,0.319,138,530,479,66,153,28,0,8,205,65,5,7,0.319,36,154,142,1.08,4,0.89,3.29,0.109,71.4,0.272
23,오재일,두산,0.316,105,455,380,69,120,20,2,27,225,92,2,7,0.316,49,70,124,0.56,13,0.88,4.07,0.276,90.1,0.333
24,박경수,kt,0.313,121,476,402,64,126,22,1,20,210,80,0,4,0.313,43,77,123,0.63,5,0.81,4.25,0.209,83.7,0.316
25,채은성,LG,0.313,128,451,403,64,126,20,3,9,179,81,2,8,0.313,32,111,99,1.12,10,0.41,3.79,0.132,64.5,0.275
26,필,KIA,0.313,132,544,499,71,156,37,1,20,255,86,0,7,0.313,58,140,140,1,9,0.47,3.55,0.198,84.5,0.288
27,정의윤,SK,0.311,144,616,576,68,179,32,1,27,294,100,0,5,0.311,60,153,173,0.88,10,0.33,3.48,0.2,93.5,0.284
