구분,화장실명,소재지도로명주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,연락처,개방시간,설치년도,소재지지번주소,LON,LAT,데이터기준일자
개방화장실,골든빌오피스텔,경기도 안산시 단원구 광덕대로 206 (고잔동),N,5,8,1,1,0,0,5,1,0,㈜골든빌,,24시간,1994-00-00,,126.8312116,37.3147008,2016-05-31
개방화장실,부원프라자,경기도 안산시 단원구 광덕4로 180 (고잔동),N,18,24,6,6,0,0,18,6,0,㈜동방엘엔씨,,24시간,2003-00-00,,126.8326286,37.314638,2016-05-31
개방화장실,종현어촌체험마을,경기도 안산시 단원구 구봉길 240  (대부북동),N,4,8,1,1,0,0,8,1,0,안산시장(해양수산과장),,24시간,2006-09-14,,126.5476428,37.280478,2016-05-31
개방화장실,대부도 배모양 공중화장실,경기도 안산시 단원구 대부황금로 1432 (대부북동),N,2,3,2,2,0,0,6,1,0,안산시장(환경정책과장),,24시간,2005-08-10,,126.5700667,37.2839566,2016-05-31
공중화장실,동양센트럴시티,경기도 안산시 상록구 광덕1로 346  (이동),N,4,6,1,1,0,0,4,1,0,개인,,24시간,2005-00-00,,126.8483349,37.3064417,2016-05-31
공중화장실,기아자동차,경기도 안산시 단원구 중앙대로 929  (고잔동),N,19,19,4,4,0,0,23,6,0,㈜씨큐어넷,,24시간,1989-07-04,,126.8399246,37.3170917,2016-05-31
공중화장실,남양빌딩,경기도 안산시 단원구 중앙대로 927  (고잔동),N,14,21,0,0,0,0,21,0,0,㈜남양건설,,24시간,1989-11-25,,126.8395635,37.3171272,2016-05-31
공중화장실,동서코아,경기도 안산시 단원구 중앙대로 921  (고잔동),N,8,12,0,0,0,0,8,0,0,㈜동서유통,,24시간,1991-05-17,,126.8389948,37.3171589,2016-05-31
공중화장실,월드코아,경기도 안산시 단원구 중앙대로 915  (고잔동),N,17,25,0,0,0,0,18,0,0,㈜월드비전,,24시간,1992-11-25,,126.8382683,37.3171831,2016-05-31
공중화장실,한국자동차산업인력개발원,경기도 안산시 단원구 중앙대로 929  (고잔동),N,3,3,1,1,0,0,4,1,0,㈜씨큐어넷,,24시간,1989-07-04,,126.8399246,37.3170917,2016-05-31
공중화장실,22근린공원,경기도 안산시 단원구 초지로 188 (초지동),N,2,2,1,1,0,0,3,0,0,안산시장(시민공원과장),,24시간,1996-00-00,,126.8157092,37.3155859,2016-05-31
공중화장실,안산 문화예술의전당,경기도 안산시 단원구 적금로1길 11 (고잔동),N,55,59,5,5,0,0,60,5,0,문화예술의전당관장,,24시간,2004-10-03,,126.8273317,37.3182922,2016-05-31
공중화장실,웅신아트프라자,경기도 안산시 단원구 광덕대로 161  (고잔동),N,25,20,0,0,0,0,10,0,0,㈜석우종합건설,,24시간,2002-00-00,,126.8291127,37.3109964,2016-05-31
공중화장실,일번지빌딩,경기도 안산시 단원구 광덕대로 146  (고잔동),N,30,15,0,0,0,0,15,0,0,㈜신성개발,,24시간,2000-00-00,,126.8306774,37.3094308,2016-05-31
공중화장실,제4주구(능안운동장),경기도 안산시 단원구 능안로 39-26 (목내동),N,4,10,1,1,0,0,10,1,0,안산도시공사장,,24시간,2000-00-00,,126.7748989,37.3198583,2016-05-31
공중화장실,안산주유소(삼원기업),경기도 안산시 단원구 목내로 45 (목내동),N,2,2,0,0,0,0,1,0,0,삼원기업,,24시간,1987-00-00,,126.7725185,37.3041109,2016-05-31
공중화장실,경희재활요양병원,경기도 안산시 단원구 광덕대로 162 (고잔동),N,2,6,0,0,0,0,4,0,0,행정실장,,24시간,2003-12-00,,126.8307916,37.310815,2016-05-31
공중화장실,대우프라자,경기도 안산시 단원구 광덕동로 39 (고잔동),N,18,18,0,0,0,0,18,0,0,상가번영회,,24시간,2002-00-00,,126.8320795,37.3079227,2016-05-31
공중화장실,"로데오타운A동,B동",경기도 안산시 단원구 광덕대로 154  (고잔동),N,16,18,0,0,0,0,18,0,0,상가번영회,,24시간,2003-00-00,,126.8307344,37.3101697,2016-05-31
공중화장실,신세기빌딩,경기도 안산시 단원구 고잔2길 59  (고잔동),N,17,27,0,0,0,0,13,0,0,㈜세기건설,,24시간,1991-03-02,,126.837721,37.3177446,2016-05-31
공중화장실,창진타운,경기도 안산시 단원구 광덕대로 162  (고잔동),N,4,6,0,0,0,0,4,0,0,관리사무실,,24시간,2003-12-00,,126.8307916,37.310815,2016-05-31
공중화장실,크리스탈에이스프라자,경기도 안산시 단원구 광덕대로 142  (고잔동),N,10,10,0,0,0,0,10,0,0,관리사무실,,24시간,2002-07-23,,126.8306332,37.3090271,2016-05-31
공중화장실,8단지내상가,경기도 안산시 단원구 당곡3로 20  (고잔동),N,4,5,0,0,0,0,6,0,0,상가번영회,,24시간,1988-02-26,,126.839752,37.3260909,2016-05-31
공중화장실,고려대학교병원,경기도 안산시 단원구 적금로 123 (고잔동),N,31,37,5,5,0,0,31,2,0,병원장,,24시간,1984-00-00,,126.8250018,37.3188582,2016-05-31
공중화장실,해양빌딩,경기도 안산시 단원구 중앙대로 937  (고잔동),N,19,20,2,2,0,0,19,1,0,㈜해양건설,,24시간,1992-04-06,,126.8409671,37.3170246,2016-05-31
공중화장실,휴웰병원,경기도 안산시 단원구 고잔로 134 (고잔동),N,20,24,5,5,0,0,30,5,0,㈜한국산재의료원,,24시간,2002-00-00,,126.8409774,37.3185816,2016-05-31
공중화장실,SK안산공원주유소,경기도 안산시 단원구 광덕1로 268 (고잔동),N,1,2,1,1,0,0,1,1,0,SK네트웍스,,24시간,2001-00-00,,126.839883,37.3069243,2016-05-31
공중화장실,외국인주민센터,경기도 안산시 단원구 부부로 43 (원곡동),N,7,7,3,3,0,0,14,3,0,안산시외국인주민센터소장,,24시간,2007-12-00,,126.7903427,37.3324363,2016-05-31
공중화장실,단원보건소,경기도 안산시 단원구 화랑로 387 (고잔동),N,6,10,4,4,0,0,11,2,1,단원보건소장(보건행정과장),,24시간,2001-11-20,,126.8327149,37.3225564,2016-05-31
공중화장실,안산시청사,경기도 안산시 단원구 화랑로 387 (고잔동),N,39,58,26,26,0,0,46,11,0,안산시장(회계과장),,24시간,1982-00-00,,126.8327149,37.3225564,2016-05-31
공중화장실,안산시정신보건센타,경기도 안산시 단원구 화랑로 387 (고잔동),N,3,4,0,0,0,0,4,0,0,안산시장(회계과장),,24시간,1986-00-00,,126.8327149,37.3225564,2016-05-31
공중화장실,네스앙스,경기도 안산시 단원구 광덕대로 203  (고잔동),N,4,3,0,0,0,0,2,0,0,상가번영회,,24시간,1995-00-00,,126.8293387,37.3148171,2016-05-31
공중화장실,로진프라자,경기도 안산시 단원구 광덕동로 39  (고잔동),N,24,18,0,0,0,0,18,0,0,㈜신하종합건설,,24시간,2002-00-00,,126.8320795,37.3079227,2016-05-31
공중화장실,화승타운,경기도 안산시 단원구 광덕3로 178  (고잔동),N,42,70,0,0,0,0,42,0,0,상가번영회,,24시간,2001-12-28,,126.8323591,37.3120606,2016-05-31
공중화장실,선부동우체국,경기도 안산시 단원구 선부광장1로 138  (선부동),N,0,0,1,1,0,0,0,0,0,우체국장,,24시간,1992-08-31,,126.8102395,37.3319544,2016-05-31
공중화장실,용신평생교육원,경기도 안산시 단원구 다문화길 16 (원곡동),N,3,2,1,1,0,0,3,1,0,안산시장,,24시간,1981-08-15,,126.7906038,37.3294417,2016-05-31
공중화장실,군자포커스프라자,경기도 안산시 단원구 화랑로 32 (원곡동),N,20,28,1,1,0,0,20,0,0,상가번영회,,24시간,2007-07-25,,126.7959598,37.3315703,2016-05-31
공중화장실,코로스프라자,경기도 안산시 상록구 광덕1로 370  (이동),N,10,10,0,0,0,0,15,0,0,개인,,24시간,2000-00-00,,126.8509811,37.3076056,2016-05-31
공중화장실,안산제일종합시장,경기도 안산시 단원구 선이로 14  (선부동),N,33,66,0,0,0,0,35,0,0,안산제1종합시장사업협동조합,,24시간,1991-06-30,,126.8036317,37.342356,2016-05-31
공중화장실,극동에너지,경기도 안산시 단원구 선이로 39  (선부동),N,0,0,0,0,0,0,0,0,0,㈜극동에너지,,24시간,1999-06-00,,126.8007759,37.343454,2016-05-31
공중화장실,시티프라자,경기도 안산시 단원구 광덕동로 91  (고잔동),N,10,10,0,0,0,0,15,0,0,상가번영회,,24시간,2000-00-00,,126.8325834,37.312652,2016-05-31
공중화장실,현대타운,경기도 안산시 단원구 광덕동로 99  (고잔동),N,12,24,0,0,0,0,18,0,0,상가번영회,,24시간,2002-12-31,,126.8326361,37.31329,2016-05-31
공중화장실,안산세관,경기도 안산시 단원구 선부광장1로 158  (선부동),N,6,5,1,1,0,0,5,1,0,안산세관,,24시간,1992-10-30,,126.8086313,37.3324709,2016-05-31
공중화장실,선부프라자빌딩,경기도 안산시 단원구 선부광장1로 162  (선부동),N,11,12,0,0,0,0,9,0,0,상가번영회,,24시간,2001-11-19,,126.8081615,37.3326611,2016-05-31
공중화장실,홈플러스,경기도 안산시 단원구 삼일로 316  (선부동),N,4,6,2,2,0,0,9,1,0,㈜홈플러스,,24시간,2005-11-14,,126.8125774,37.3337747,2016-05-31
공중화장실,경기도미술관,경기도 안산시 단원구 동산로 268 (초지동),N,5,6,4,4,0,0,6,1,0,경기도미술관장,,24시간,2006-09-20,,126.8099905,37.3250774,2016-05-31
공중화장실,월드상가1동,경기도 안산시 상록구 본삼로 38 (본오동),N,5,8,0,0,0,0,6,0,0,월드상가번영회,,24시간,1987-00-00,,126.8641416,37.3006979,2016-05-31
공중화장실,월드상가2동,경기도 안산시 상록구 본삼로 38 (본오동),N,2,4,0,0,0,0,4,0,0,월드상가번영회,,24시간,1987-00-00,,126.8641416,37.3006979,2016-05-31
공중화장실,월드프라자,경기도 안산시 상록구 본삼로 38 (본오동),N,10,20,0,0,0,0,15,0,0,월드상가번영회,,24시간,1987-02-00,,126.8641416,37.3006979,2016-05-31
공중화장실,선부지구대,경기도 안산시 단원구 선부광장1로 150  (선부동),N,1,1,0,0,0,0,1,0,0,지구대장,,24시간,2007-12-27,,126.8091876,37.332032,2016-05-31
공중화장실,안산소방서선부119안전센터,경기도 안산시 단원구 선부광장서로 43  (선부동),N,2,2,0,0,0,0,0,0,0,소방서장,,24시간,1994-00-00,,126.8043984,37.3339452,2016-05-31
공중화장실,선부시립어린이집,경기도 안산시 단원구 지곡로 48 (선부동),N,0,0,0,0,0,0,0,0,0,안산시장(여성가족과),,24시간,1993-00-00,,126.802481,37.3387499,2016-05-31
공중화장실,고잔지구대,경기도 안산시 단원구 화랑로 387 (고잔동),N,0,0,0,0,0,0,0,0,0,지구대장,,24시간,2001-11-07,,126.8327149,37.3225564,2016-05-31
공중화장실,안산소방서고잔119안전센터,경기도 안산시 단원구 화랑로 387 (고잔동),N,6,9,0,0,0,0,6,0,0,소방서장,,24시간,1991-11-28,,126.8327149,37.3225564,2016-05-31
공중화장실,본오프라자1차(본오아파트상가),경기도 안산시 상록구 선진로 106 (사동),N,18,18,0,0,0,0,18,0,0,상가번영회,,24시간,1982-00-00,,126.8528261,37.2800398,2016-05-31
공중화장실,경기지방경찰청외사범죄수사대,경기도 안산시 단원구 선부로 95  (선부동),N,0,0,0,0,0,0,0,0,0,경기도 경찰청,,24시간,1997-10-31,,126.8056833,37.3415304,2016-05-31
공중화장실,못골경로당,경기도 안산시 단원구 지곡로 36 (선부동),N,1,1,0,0,0,0,1,0,0,단원구청장(주민복지과장),,24시간,1989-12-23,,126.8037873,37.3380673,2016-05-31
공중화장실,정지막골경로당,경기도 안산시 단원구 석수로 5-1 (선부동),N,1,1,0,0,0,0,1,0,0,단원구청장(주민복지과장),,24시간,1993-00-00,,126.80816,37.3403487,2016-05-31
공중화장실,원국다문화지구대,경기도 안산시 단원구 원곡공원로 30 (원곡동),N,0,0,2,2,0,0,1,0,0,경기도 경찰청,,24시간,1997-07-10,,126.7946164,37.3326492,2016-05-31
개방화장실,신안코아,경기도 안산시 상록구 반석로 44 (본오동),N,12,12,0,0,0,0,12,0,0,입점자대표,,24시간,1993-06-00,,126.8645759,37.2950146,2016-05-31
공중화장실,시립대덕어린이집,경기도 안산시 단원구 원선로북길 7 (원곡동),N,0,0,0,0,0,0,0,0,0,안산시장(여성가족과장),,24시간,2000-08-19,,126.8026281,37.3325655,2016-05-31
공중화장실,어린이쉼터양곡경로당,경기도 안산시 단원구 원본로3길 28 (원곡동),N,1,1,0,0,0,0,1,0,0,단원구청장(주민복지과장),,24시간,1998-04-30,,126.7952766,37.3321926,2016-05-31
공중화장실,본오프라자2차(본오2차아파트상가),경기도 안산시 상록구 선진로 112 (사동),N,6,6,1,1,0,0,6,1,0,상가번영회,,24시간,1984-00-00,,126.8526084,37.2806702,2016-05-31
공중화장실,안산시청어린이집,경기도 안산시 단원구 화랑로 387 (고잔동),N,3,3,0,0,15,0,3,0,7,안산시장(회계과장),,24시간,1991-11-04,,126.8327149,37.3225564,2016-05-31
공중화장실,안산S/W지원센터,경기도 안산시 단원구 연수원로 104-14 (원곡동),N,6,6,0,0,0,0,5,0,0,안산시장(회계과장),,24시간,1984-00-00,,126.8012531,37.3216932,2016-05-31
공중화장실,안산여성근로자복지센터,경기도 안산시 단원구 원본로3길 28 (원곡동),N,0,0,0,0,0,0,0,0,0,안산시장(여성가족과),,24시간,1998-04-30,,126.7952766,37.3321926,2016-05-31
공중화장실,로얄빌딩,경기도 안산시 상록구 예술광장1로 46 (월피동),N,10,15,0,0,0,0,10,0,0,개인,,24시간,1999-00-00,,126.8469438,37.3293658,2016-05-31
공중화장실,민방위교육장,경기도 안산시 상록구 예술광장1로 32 (월피동),N,9,17,0,0,0,0,9,0,0,안산시장(재난총괄과장),,24시간,2000-07-11,,126.845982,37.3296277,2016-05-31
공중화장실,경기도안산교육청,경기도 안산시 단원구 적금로 134  (고잔동),N,10,12,2,2,0,0,13,2,0,경기도 교육청,,24시간,1988-00-00,,126.8266919,37.3198266,2016-05-31
공중화장실,안산세무서,경기도 안산시 단원구 화랑로 350  (고잔동),N,11,14,2,2,0,0,7,2,0,국세청,,24시간,1990-00-00,,126.8269327,37.3210631,2016-05-31
공중화장실,안산시민방위대피소,경기도 안산시 단원구 원선로 33-1 (원곡동),N,3,3,0,0,0,0,3,0,0,안산시장(재난총괄과장),,24시간,1986-00-00,,126.7970838,37.3281627,2016-05-31
공중화장실,원곡경로당,경기도 안산시 단원구 원곡경로당길 14 (원곡동),N,2,1,0,0,0,0,2,0,0,단원구청장(주민복지과장),,24시간,1993-00-00,,126.8027498,37.3240239,2016-05-31
공중화장실,시립원초어린이집,경기도 안산시 단원구 동산로 253 (초지동),N,0,0,0,0,0,0,0,0,0,안산시장(여성가족과장),,24시간,1996-12-00,,126.8085607,37.3247507,2016-05-31
공중화장실,안산시재활용품판매장,경기도 안산시 단원구 선부광장로 45  (선부동),N,0,0,0,0,0,0,0,0,0,개인,,24시간,2004-06-00,,126.8120871,37.3349452,2016-05-31
공중화장실,청소년수련원,경기도 안산시 단원구 풍전로 62  (원곡동),N,25,25,0,0,0,0,46,0,0,성락교회,,24시간,1988-08-18,,126.7944095,37.32246,2016-05-31
공중화장실,성호경로당,경기도 안산시 상록구 매화로1길 57 (이동),N,1,1,0,0,0,0,1,0,0,상록구청장(주민복지과장),,24시간,1997-07-00,,126.8600597,37.3049821,2016-05-31
